SP_0574 	 SP_0575
pepT 	 SPD_0177
pepT 	 hemH
pepT 	 pepQ
SPD_1791 	 ilvD
SPD_1791 	 ilvE
SPD_1791 	 alr
SPD_1791 	 gdhA
SPD_1927 	 SPD_1384
ribF 	 ileS
ribF 	 cmk
ribF 	 ribD
ribF 	 ribB
ribF 	 polA
ribF 	 ribH
ribF 	 ribE
ribF 	 truB
ribF 	 trmU
mutY 	 polA
mutY 	 mutM
mutY 	 ogt
mutY 	 xth
mutY 	 glyS
SPD_1590 	 SPD_1589
SPD_1590 	 SPD_1588
SPD_1590 	 SPD_1587
SPD_1590 	 SPD_0402
SPD_0587 	 SPD_0585
SPD_0587 	 miaA
SPD_0587 	 hflX
SPD_0587 	 rnz
spr1078 	 spr1946
spr1078 	 spr1079
spr1078 	 spr0993
cshB 	 Exonuclease
cshB 	 rpsO
cshB 	 rpsL
cshB 	 rpsQ
cshB 	 rpsC
cshB 	 SPD_0481
cshB 	 fusA
cshB 	 rpsH
cshB 	 rplD
cshB 	 rpoB
cshB 	 rpsE
cshB 	 rpoA
cshB 	 rpsA
cshB 	 SPD_0672
cshB 	 rpsG
cshB 	 rpoC
cshB 	 rpsD
cshB 	 SPD_1367
cshB 	 rpoZ
SPD_0344 	 gnd
SPD_0344 	 SPD_0341
SPD_0887 	 dexB
SPD_0887 	 ccdA-2
SPD_0887 	 treC
SPD_0887 	 SPD_0335
SPD_0887 	 amy
SPD_0887 	 nplT
SPD_0887 	 metA
SPD_0887 	 gtfA
SPD_0335 	 nanA
SPD_0335 	 SPD_0887
ccdA-1 	 trx
ccdA-1 	 SPD_0572
ccdA-1 	 msrAB2
ccdA-1 	 msrAB1
ccdA-1 	 SPD_0886
SPD_1516 	 SPD_1514
spr0818 	 spr1886
queA 	 nagB
queA 	 tgt
gldA 	 pfl
gldA 	 glpK
gldA 	 talC
SPD_1778 	 cbf1
SPD_1778 	 rpe
SPD_1778 	 SPD_1779
SPD_1778 	 pcrA
SPD_1778 	 ksgA
SPD_1778 	 rsgA
metN 	 metK
metN 	 Peptidase
metN 	 SPD_0431
metN 	 SPD_0150
metN 	 metF
metN 	 Lipoprotein
iga 	 SPD_1587
iga 	 SPD_2014
iga 	 ribD
acpP 	 accB
acpP 	 SPD_0378
acpP 	 fabZ
acpP 	 fabD
acpP 	 fabK
acpP 	 accD
acpP 	 fabH
acpP 	 fabG
acpP 	 atpH
acpP 	 accC
acpP 	 fabF
acpP 	 SPD_0044
lacC 	 agaS
lacC 	 SPD_0773
lacC 	 lacB
lacC 	 lacE-2
lacC 	 pfkA
lacC 	 lacD
lacC 	 lacF-2
lacC 	 galM
lacC 	 lacA
lacC 	 lacG-2
SPD_1093 	 nadC
SPD_1093 	 SPD_1347
rny 	 pnp
rny 	 cshA
rny 	 stkP
rny 	 ftsA
rny 	 ftsY
rny 	 dacA
rex 	 SPD_0979
rex 	 prs2
rex 	 SPD_0978
ppaC 	 atpH
ppaC 	 SPD_1365
ppaC 	 atpE
ppaC 	 atpG
ppaC 	 atpF
ppaC 	 atpA
ppaC 	 atpD
ppaC 	 pflB
ppaC 	 atpB
ppaC 	 atpC
pcpA 	 phtE
pcpA 	 stkP
pcpA 	 SPD_1179
pcpA 	 ply
pcpA 	 gmk
pcpA 	 phtD
SPD_0832 	 SPD_0972
SPD_0832 	 IS1381
SPD_0832 	 SPD_1967
SPD_1277 	 SPD_1279
SPD_1277 	 cppA
SPD_0711 	 SPD_0972
SPD_0711 	 IS1381
SPD_0711 	 SPD_0638
SPD_0711 	 SPD_1595
SPD_0711 	 SPD_1967
ruvA 	 recR
ruvA 	 prfB
ruvA 	 uvrC
ruvA 	 hexB
ruvA 	 ruvB
ruvA 	 recF
ruvA 	 recA
ruvA 	 tag
ruvA 	 recN
ruvA 	 recG
ruvA 	 polA
ruvA 	 recJ
SPD_1388 	 SPD_0403
SPD_1388 	 SPD_1389
pepQ 	 ccpA
pepQ 	 pepN
pepQ 	 pepT
pepQ 	 pepV
pbuX 	 guaB
pbuX 	 SPD_0267
pbuX 	 guaA
pbuX 	 xpt
ftsE 	 ftsZ
ftsE 	 SPD_0774
ftsE 	 ftsA
ftsE 	 ftsX
ftsE 	 SPD_0952
ftsE 	 SPD_2043
ftsE 	 prfB
SPD_0229 	 nrdD
SPD_0229 	 pfl
SPD_0229 	 SPD_0230
SPD_0229 	 pflB
SPD_0147 	 SPD_0146
SPD_0147 	 SPD_1017
SPD_0147 	 SPD_0144
SPD_0681 	 SPD_1715
SPD_0681 	 SPD_1241
SPD_0681 	 SPD_1010
SPD_0681 	 SPD_0159
SPD_0681 	 SPD_1350
SPD_0759 	 metE
SPD_0759 	 metK
SPD_0759 	 dnaX
SPD_1864 	 SPD_0998
SPD_1864 	 SPD_1858
SPD_1864 	 SPD_0996
SPD_1864 	 SPD_1389
SPD_1864 	 cglA
fer 	 SPD_1429
glgD 	 glgB
glgD 	 groL
glgD 	 pulA
glgD 	 argG
glgD 	 gtfA
glgD 	 malP
glgD 	 pgm
glgD 	 galU
glgD 	 malQ
glgD 	 glgC
SPD_1281 	 SPD_1282
SPD_1281 	 SPD_1279
SPD_0095 	 SPD_0093
SPD_0095 	 SPD_0094
SPD_0694 	 SPD_0695
SPD_0694 	 SPD_0698
SPD_0694 	 SPD_0696
SPD_0694 	 SPD_0699
rnmV 	 ksgA
rnmV 	 SPD_1788
aroD 	 aroE
aroD 	 SPD_1212
aroD 	 aroB
aroD 	 aroK
aroD 	 tyrA
aroD 	 aroC
SPD_1648 	 cps2K
SPD_1648 	 galE-1
SPD_1648 	 galE-2
SPD_1648 	 galT-2
SPD_1648 	 galU
SPD_1648 	 galT-1
SPD_1648 	 galK
SPD_1648 	 cps2P
spr0970 	 spr0965
spr0970 	 spr0967
spr0970 	 spr0962
spr0970 	 nikS
spr0970 	 rffD
spr0970 	 spr0968
spr0970 	 spr0966
spr0968 	 spr0964
spr0968 	 spr0966
spr0968 	 spr0965
spr0968 	 spr0967
spr0968 	 nikS
spr0968 	 rffD
spr0968 	 spr0970
SPD_0818 	 lspA
SPD_0818 	 proB
SPD_0818 	 cbpE
SPD_0818 	 proA
SPD_0818 	 rluD
SPD_1094 	 uvrB
SPD_1094 	 SPD_0959
SPD_0031 	 SPD_1213
SPD_0031 	 SPD_0030
SPD_1902 	 SPD_1900
SPD_1902 	 SPD_0998
SPD_1902 	 SPD_0341
acpS 	 SPD_1511
acpS 	 alr
acpS 	 recG
acpS 	 SPD_1510
acpS 	 coaE
acpS 	 fabH
SPD_0868 	 secG
SPD_0868 	 coiA
SPD_0868 	 stkP
SPD_0868 	 SPD_1463
SPD_0868 	 O-methyltransferase
SPD_0868 	 SPD_1179
SPD_0868 	 SPD_1331
SPD_0868 	 pepF
SPD_0739 	 deoC
SPD_0739 	 pdp
der 	 nrdR
der 	 SPD_1522
der 	 ychF
der 	 obg
der 	 lepA
der 	 plsY
der 	 cmk
der 	 hisS
der 	 rplR
der 	 engB
der 	 rpmI
der 	 truB
der 	 dnaI
der 	 rplT
der 	 rluB
cca 	 dapB
cca 	 polA
ylmH 	 divIVA
ylmH 	 ftsZ
ylmH 	 ylmG
ylmH 	 ftsA
ylmH 	 ylmF
ylmH 	 ylmE
comE 	 comD
comE 	 blpH
comE 	 SPD_1122
pavA 	 tig
pavA 	 mrnC
pavA 	 mutS2
SPD_0092 	 SPD_1646
SPD_0092 	 SPD_0093
SPD_0092 	 SPD_0094
SPD_1725 	 tyrS
SPD_1725 	 ychF
mutM 	 ybeY
mutM 	 coaE
mutM 	 guaA
mutM 	 pmrA
mutM 	 mutY
mutM 	 era
mutM 	 polA
mutM 	 recJ
trmD 	 rpoB
trmD 	 rplB
trmD 	 rpsP
trmD 	 rimM
trmD 	 rpoA
trmD 	 rplM
trmD 	 secY
trmD 	 rpsD
trmD 	 SPD_0680
trmD 	 rpsH
trmD 	 rplC
trmD 	 rplP
trmD 	 polA
trmD 	 rpsL
trmD 	 rplS
trmD 	 rpsG
trmD 	 rpsB
trmD 	 rpsR
trmD 	 rpsC
trmD 	 rpsJ
SPD_1333 	 gnd
SPD_1333 	 SPD_1331
SPD_1333 	 zwf
SPD_1034 	 ribD
SPD_1034 	 SPD_0796
SPD_1034 	 SPD_1033
SPD_1034 	 SPD_1433
SPD_1034 	 SPD_0378
SPD_1034 	 SPD_0619
SPD_1034 	 SPD_1029
SPD_1034 	 SPD_2068
SPD_1034 	 SPD_1447
SPD_1034 	 Acetyltransferase
spr0466 	 spr0469
spr0466 	 Endo-beta-N-acetylglucosaminidase
spr0466 	 spr0467
spr0466 	 spr0468
spr0466 	 comA
SPD_1079 	 SPD_1837
SPD_1079 	 celA
SPD_1079 	 SPD_1080
SPD_0447 	 SPD_0446
SPD_0447 	 glnA
SPD_0446 	 SPD_0911
SPD_0446 	 SPD_0447
comX2 	 SPD_0670
SPD_0886 	 lpdA
SPD_0886 	 ccdA-2
SPD_0886 	 dnaK
SPD_0886 	 msrAB1
SPD_0886 	 SPD_1415
SPD_0886 	 msrAB2
SPD_0886 	 ccdA-1
SPD_0886 	 trxB
trpS 	 guaB
trpS 	 leuS
trpS 	 guaA
trpS 	 argS
trpS 	 ribD
trpS 	 pheS
trpS 	 serS
trpS 	 metG
trpS 	 rpoD
trpS 	 pheT
SPD_1082 	 vicX
SPD_1082 	 SPD_1085
SPD_1082 	 SPD_1080
SPD_1082 	 SPD_1084
SPD_1082 	 SPD_1081
SPD_1080 	 SPD_1081
SPD_1080 	 SPD_1854
SPD_1080 	 SPD_1079
SPD_1080 	 Endonuclease
SPD_1080 	 SPD_1082
pyrH 	 dgkA
pyrH 	 SPD_0191
pyrH 	 pheT
pyrH 	 ndk
pyrH 	 pyrR
pyrH 	 mutX
pyrH 	 SPD_0052
pyrH 	 udk
pyrH 	 pyrG
pyrH 	 frr
pyrH 	 guaA
pyrH 	 SPD_0836
pyrH 	 pyrF
pyrH 	 tsf
pyrH 	 rpsB
pyrH 	 upp
pyrH 	 SPD_0633
SPD_0836 	 frr
SPD_0836 	 rsfS
SPD_0836 	 pyrH
ciaR 	 pepN
ciaR 	 SPD_0082
ciaR 	 ciaH
ciaR 	 SPD_1084
galT-2 	 galR
galT-2 	 galT-1
galT-2 	 galK
galT-2 	 SPD_1648
galT-2 	 galE-2
galT-2 	 cps2P
galT-2 	 cps2K
galT-2 	 galE-1
galT-2 	 galU
murM/fibA 	 penA
murM/fibA 	 SPD_1416
murM/fibA 	 murG
SPD_0540 	 SPD_1289
SPD_0540 	 SPD_1290
SPD_0540 	 SPD_0618
SPD_2020 	 vncS
SPD_2020 	 SPD_0082
SPD_2020 	 vex3
SPD_2020 	 SPD_2019
amy 	 SPD_0887
amy 	 glgB
amy 	 nplT
amy 	 pulA
amy 	 exp5
amy 	 SPD_0662
amy 	 malP
amy 	 malQ
amy 	 Pullulanase
trpC 	 trpE
trpC 	 pabB
trpC 	 trpB
trpC 	 trpG
trpC 	 trpD
trpC 	 pheA
trpC 	 trpF
trpC 	 trpA
SPD_1844 	 araD
SPD_1844 	 SPD_1846
SPD_1844 	 SPD_1840
SPD_1844 	 SPD_1847
SPD_1844 	 SPD_1845
SPD_1844 	 SPD_1843
pulA 	 gtfA
pulA 	 ligA
pulA 	 amy
pulA 	 galU
pulA 	 glgC
pulA 	 malP
pulA 	 pgm
pulA 	 malQ
pulA 	 glgB
pulA 	 nplT
pulA 	 glgD
bacA 	 mraY
bacA 	 uppS
bacA 	 dgkA
bacA 	 SPD_0438
ribE 	 ribH
ribE 	 tag
ribE 	 sulD
ribE 	 ribD
ribE 	 ribB
ribE 	 ribF
ribE 	 SPD_0266
